Personagem,Localizacao,Filme / Livro,Adjetivo / Característica,Frase
"Antonio Vivaldi","Estufa de tomates","Viagem ao Centro da Terra","Que fala como um avô contando causo","Eu vou contar tudo mesmo que me custe caro."
"Richard Wagner","Silo de grãos","A Ilha Misteriosa","Que fala como uma avó dando conselho","A verdade sempre encontra o caminho de volta."
"Giuseppe Verdi","Trator no meio da lavoura","A Máquina do Tempo","Que fala como uma criança contando o dia na escola","Eu esperei sentado e agora vou de pé."
"Claude Debussy","Colheitadeira em movimento","A Guerra dos Mundos","Que fala como um adolescente em mensagem de voz","Você prometeu voltar antes do verão acabar."
"Franz Schubert","Armazém de café","A Ilha do Doutor Moreau","Que fala como um pai tentando ser moderno","Eu preciso saber quem assinou aquele documento."
"Joseph Haydn","Terreiro de secagem de café","Robinson Crusoé","Que fala como uma mãe gritando do outro cômodo","O dinheiro nunca foi o problema aqui."
"Liev Tolstói","Engenho de cana antigo","As Viagens de Gulliver","Que fala como um irmão mais velho zoando","Eu escolhi ficar quieto para proteger você."
"Fiódor Dostoiévski","Moinho de vento","A Ilha do Tesouro","Que fala como um vizinho reclamando do barulho","Esse segredo morre comigo se você quiser."
"Franz Kafka","Roda d'água de moinho","O Chamado Selvagem","Que fala como um síndico lendo o regimento","Eu não sou mais aquela pessoa que você conheceu."
"Albert Camus","Casa de farinha","Caninos Brancos","Que fala como um porteiro que sabe de tudo","Confesso que fui eu que apaguei as fotos."
"Jean-Paul Sartre","Forno de barro no quintal","O Livro da Selva","Que fala como um taxista comentando a cidade","Eu escondi o presente e esqueci onde."
"Simone de Beauvoir","Fogão a lenha no interior","Alice no País das Maravilhas","Que fala como um motorista de aplicativo puxando assunto","Eu inventei um sobrenome elegante para impressionar a família."
"Ernest Hemingway","Varal de roupas no quintal","Através do Espelho","Que fala como um passageiro de avião com medo","Eu nunca aprendi a nadar e sempre menti sobre isso."
"Scott Fitzgerald","Tanque de lavar roupa","O Pequeno Príncipe","Que fala como um turista perdido com mapa na mão","Eu como sobremesa antes do almoço quando estou sozinho."
"John Steinbeck","Quintal com pé de manga","Momo","Que fala como um guia de museu apaixonado pelo tema","Eu guardo todas as sacolas plásticas dentro de outra sacola."
"George Orwell","Laje com caixa d'água","A História Sem Fim","Que fala como um bibliotecário pedindo silêncio","Eu falo sozinho quando estou dirigindo."
"Aldous Huxley","Terraço com vista para a cidade","O Jardim Secreto","Que fala como um fiscal de prova","Eu já chorei escutando uma música de propaganda."
"J.R.R. Tolkien","Cobertura em festa de arromba","Pollyanna","Que fala como um treinador no intervalo","Eu tenho um caderno com desenhos horríveis que ninguém pode ver."
"C.S. Lewis","Corredor de prédio com cheiro de comida","Mulherzinhas","Que fala como um juiz explicando a regra","Eu ainda tenho medo do escuro no corredor."
"Jane Austen","Escada de prédio sem elevador","Anne de Green Gables","Que fala como um narrador de videogame antigo","Eu comi o último pedaço e disse que foi o gato."
"Emily Brontë","Subsolo de garagem escuro","Heidi","Que fala como um robô com bateria acabando","Eu usei o seu perfume e joguei fora o vidro vazio."
"Charles Dickens","Depósito do síndico","O Fantasma da Ópera","Que fala como uma inteligência artificial educada demais","Eu li a sua correspondência sem querer e depois com vontade."
"H.P. Lovecraft","Casa de máquinas do elevador","Os Sofrimentos do Jovem Werther","Que fala como um alienígena que aprendeu português por novela","Eu esqueci o nome do seu marido na frente dele."
"Bram Stoker","Duto de ventilação apertado","A Montanha Mágica","Que fala como um fantasma de casa antiga","Eu finjo que gosto de esporte para participar da conversa."
"Mary Shelley","Sótão com caixas de fotos antigas","O Lobo da Estepe","Que só usa gírias de outra década","Eu levo a mesma marmita há três anos."
"Oscar Wilde","Porão alagado","Sidarta","Que só fala frases de para-choque de caminhão","Eu tenho pavor de dançar na frente dos outros."
"Victor Hugo","Adega com barris","Demian","Que só usa metáforas de jardinagem","Eu guardo todos os ingressos de cinema desde criança."
"Honoré de Balzac","Cofre de banco entreaberto","O Jogo das Contas de Vidro","Que só usa metáforas de cozinha","Eu falo com a minha planta todos os dias de manhã."
"Miguel de Cervantes","Sala do tesouro de um castelo","A Insustentável Leveza do Ser","Que só usa metáforas de trânsito","Eu confundi o seu aniversário com o do meu chefe."
"Dante Alighieri","Masmorra com corrente enferrujada","O Livro do Riso e do Esquecimento","Que só usa termos de informática","Eu já dormi no cinema durante o filme que eu escolhi."
"Homero","Torre de vigia do castelo","O Alienista","Que só usa termos jurídicos","Eu tenho ciúmes do seu cachorro."
"Virgílio","Fosso do castelo com jacarés","Memórias de um Sargento de Milícias","Que só usa termos de mercado financeiro","Eu escondi o controle remoto para escolher o canal."
"Sêneca","Ponte levadiça baixando","O Ateneu","Que só usa termos de academia","Eu sei fazer só uma receita e finjo que sei mais."
"Marco Aurélio","Salão do trono vazio","Angústia","Que só usa termos de pesca","Eu tenho medo de altura desde aquele passeio."
"Epicteto","Cozinha de castelo medieval","Memórias do Cárcere","Que só fala em modo de receita culinária","Eu ainda uso a camiseta que você mandou eu jogar fora."
"Diógenes o cínico","Estábulo real","Sagarana","Que só fala em modo de manual de montagem","Eu guardo dinheiro dentro de um livro."
"Heráclito","Arena de justa medieval","Primeiras Estórias","Que só fala em formato de lista numerada","Eu escolhi essa profissão por causa de um filme."
"Demócrito","Feira medieval com malabaristas","Laços de Família","Que só fala em perguntas retóricas","Eu tenho vergonha de perguntar o que significa essa palavra."
"Tales de Mileto","Acampamento de cruzados","Perto do Coração Selvagem","Que só fala em superlativos","Eu nunca terminei de ler o livro que você me deu."
"Euclides","Barco viking em alto-mar","Água Viva","Que evita a letra S por superstição","Eu adoro o cheiro de gasolina e sei que é estranho."
"Hipátia de Alexandria","Aldeia viking no inverno","Ciranda de Pedra","Que evita dizer números","Eu já pedi carona fingindo que era conhecido."
"Ibn Battuta","Trincheira na Primeira Guerra","As Meninas","Que evita dizer nomes próprios","Eu decorei o cardápio inteiro daquele restaurante."
"Dom Pedro II","Bunker durante o bombardeio","Memorial de Maria Moura","Que evita falar do futuro","Eu guardo as cartas que você escreveu na gaveta de meias."
"Marechal Deodoro","Submarino em silêncio total","A Bagaceira","Que se recusa a dizer a palavra não","Eu tenho pena de jogar fora comida estragada."
"Juscelino Kubitschek","Convés de porta-aviões","Menino de Engenho","Que responde tudo com talvez","Eu conto os degraus de todas as escadas que subo."
"Chico Mendes","Base militar no deserto","Terras do Sem Fim","Que responde tudo com depende","Eu tenho uma coleção de tampinhas desde os oito anos."
"Irmã Dulce","Campo de refugiados","Gabriela Cravo e Canela","Que responde tudo com se Deus quiser","Eu já fingi estar ocupado para não atender a porta."
"Oswaldo Cruz","Comboio humanitário","Jubiabá","Que termina tudo com um suspiro","Eu sei imitar a sua voz melhor do que você imagina."
"Carlos Chagas","Hospital de campanha","Tenda dos Milagres","Que começa tudo com um pigarro","Eu perdi o presente de casamento antes da festa."
"Cândido Rondon","Sala de guerra com mapas na mesa","Mar Morto","Que faz pausa dramática antes do óbvio","Eu falo com sotaque diferente quando viajo."
"Chiquinha Gonzaga","Sala de decodificação de mensagens","Tieta do Agreste","Que sussurra quando fala de dinheiro","Eu tenho medo de manequim de loja."
"Carmen Miranda","Escritório de espionagem com arquivos","Incidente em Antares","Que grita quando fala de comida","Eu já dei o mesmo presente para você duas vezes."
"Grande Otelo","Cofre secreto atrás do quadro","Um Copo de Cólera","Que chora quando fala da mãe","Eu escondo os chocolates atrás dos legumes."
"Mazzaropi","Túnel de fuga cavado à mão","Lavoura Arcaica","Que ri quando fala do trabalho","Eu já usei o nome do meu irmão para conseguir desconto."
"Oscarito","Esconderijo no forro da casa","Estação Carandiru","Que fica sério quando falam de futebol","Eu tenho pavor de barulho de balão furando."
"Pixinguinha","Casa segura sem janelas","Quarto de Despejo","Que se emociona com música de elevador","Eu sei todas as falas daquele filme antigo de cor."
"Noel Rosa","Motel de fuga com cortina fechada","Torto Arado","Que se assusta com o próprio celular","Eu já cantei no chuveiro achando que estava sozinho em casa."
"Cartola","Cabine telefônica antiga","Um Defeito de Cor","Que se distrai com qualquer luz piscando","Eu tenho ciúmes do seu talento e admiro ao mesmo tempo."
"Dorival Caymmi","Orelhão quebrado na esquina","Becos da Memória","Que se perde no meio do próprio raciocínio","Eu troquei as etiquetas de preço quando era criança."
"Heitor Villa-Lobos","Central telefônica cheia de fios","Olhos d'Água","Que anota tudo em um caderninho","Eu ainda durmo com a luz do corredor acesa."
"Cândido Portinari","Sala de arquivos com fichas de papel","A Resistência","Que fotografa tudo antes de tocar","Eu tenho uma lista de coisas que quero fazer antes dos cinquenta."
"Tarsila do Amaral","Almoxarifado de escola","O Irmão Alemão","Que cronometra as próprias falas","Eu já entrei no ônibus errado só para não voltar atrás."
"Oscar Niemeyer","Depósito de material de limpeza","Budapeste","Que conta os segundos em voz alta","Eu falo mais alto quando estou nervoso e não percebo."
"Roberto Burle Marx","Sala do zelador cheia de chaves","Leite Derramado","Que mede tudo em passos","Eu peço o mesmo prato em todo restaurante novo."
"Lina Bo Bardi","Guarita com televisor pequeno","Estorvo","Que converte tudo em reais","Eu guardo remédio vencido por precaução."
"Aleijadinho","Portaria de fábrica na troca de turno","Ensaio sobre a Lucidez","Que converte tudo em horas de trabalho","Eu me arrependo de não ter aprendido a tocar violão."
"Padrinho de casamento","Vestiário de fábrica","O Homem Duplicado","Que calcula a rota de fuga de qualquer sala","Eu já pedi desculpas para um poste no escuro."
"Madrinha de batismo","Refeitório de mina subterrânea","Todos os Nomes","Que procura tomada em qualquer ambiente","Eu tenho medo de esquecer o rosto das pessoas que amo."
"Afilhado folgado","Galeria de mina com trilhos","Memorial do Convento","Que procura o banheiro assim que chega","Eu tenho um envelope guardado para o caso de emergência."
"Enteado","Elevador de mina descendo","Levantado do Chão","Que confere se trancou a porta três vezes","Você poderia me emprestar dez minutos da sua atenção?"
"Madrasta","Túnel de metrô em manutenção","A Jangada de Pedra","Que checa a validade de tudo","Será que a gente pode fingir que hoje é domingo?"
"Padrasto","Estação de metrô fechada há décadas","Caim","Que lê todos os rótulos em voz alta","Alguém sabe que horas fecha o mercado desta rua?"
"Bisavó","Trilho de trem abandonado","O Conto da Aia","Que pergunta o preço de cada objeto","Você prefere levar a culpa ou dividir o prejuízo?"
"Genro","Vagão de trem enferrujado no mato","Amada","Que oferece comida o tempo todo","A gente pode tentar de novo do começo?"
"Nora","Cemitério de trens","A Cor Púrpura","Que oferece carona para desconhecidos","Você acha que ainda dá tempo de consertar isso?"
"Concunhado","Cemitério de navios encalhados","Deuses Americanos","Que oferece conselho amoroso sem ser chamado","Quem aqui sabe fazer café decente?"
"Compadre","Cemitério de carros na neblina","O Oceano no Fim do Caminho","Que dá bom dia para plantas","Alguém tem um alfinete de segurança?"
"Comadre","Depósito de contêineres à noite","Lugar Nenhum","Que agradece a objetos","Você tem alguma ideia melhor do que essa?"
"Xará","Ferrovia no meio do deserto","A Sombra do Vento","Que pede licença para passar em lugar vazio","A gente pode combinar de nunca mais falar disso?"
"Ex-namorado","Ponte ferroviária estreita","O Jogo do Anjo","Que cede o lugar mesmo estando em pé","Você viu o tamanho da fila lá fora?"
"Colega de quarto","Passagem de nível com cancela","O Prisioneiro do Céu","Que segura a porta por tempo demais","Alguém pode segurar isso um segundo?"
"Vizinho do andar de cima","Curva perigosa de serra","A Menina que Roubava Livros","Que ajuda de um jeito que atrapalha","Você conseguiria mentir para mim agora?"
"Caloteiro","Mirante de estrada com neblina","O Menino do Pijama Listrado","Que resolve tudo com fita adesiva","Quem foi o gênio que pensou nesse plano?"
"Fiador","Posto de gasolina isolado na estrada","A Sociedade Literária de Guernsey","Que conserta tudo com pancada","Alguém aqui trouxe um mapa de papel?"
"Convidado penetra","Restaurante de estrada às três da manhã","O Homem de Giz","Que tem uma solução caseira para tudo","Você já tinha percebido que essa parede é falsa?"
"Anfitrião nervoso","Banheiro de posto com chave gigante","A Paciente Silenciosa","Que tem um primo que resolve tudo","A gente devia ter trazido casaco."
"Daminha de casamento","Conveniência de estrada com pastel","Slam Dunk","Que conhece alguém em todo lugar","Você tem certeza de que este é o endereço certo?"
"Pajem de casamento","Fila de balsa com carros","Kingdom","Que já esteve em todos os lugares citados","Alguém aqui sabe fazer um nó de gravata?"
"Noivo em pânico","Praia de nudismo por engano","Vagabond","Que já fez todos os trabalhos citados","Você acredita que eu ainda tenho isso guardado?"
"Noiva atrasada","Barraca de praia com sombra disputada","20th Century Boys","Que tem uma história melhor para toda história","A gente pode sair pelos fundos sem ninguém ver?"
"Amigo secreto revelado","Beira de piscina de hotel lotada","Pluto","Que transforma tudo em competição","Você aceitaria começar tudo de novo em outro lugar?"
"Puxa-saco do chefe","Sauna de hotel com vapor demais","Astro Boy","Que aposta em qualquer coisa","Alguém pode explicar isso de um jeito mais simples?"
"Estagiário perdido","Academia de hotel às seis da manhã","Doraemon","Que faz sorteio para tomar decisões","Você lembra a última vez que a gente riu assim?"
"Trainee ambicioso","Café da manhã de hotel acabando","Detetive Conan","Que consulta o horóscopo antes de agir","A gente combinou tudo diferente ontem à noite."
"Auditor externo","Corredor de hotel com carrinho de limpeza","Ranma um Meio","Que só decide depois de ligar para a mãe","Você quer que eu diga a verdade ou o que você quer ouvir?"
"Fiscal do trabalho","Elevador de hotel com espelho","Dr. Stone","Que só confia em quem gosta de cachorro","Alguém tem uma moeda para o cofrinho?"
"Recrutador","Quarto de hotel com vizinho barulhento","Black Clover","Que desconfia de quem não bebe café","Você sabia que este lugar já foi um teatro?"
"Palestrante motivacional","Lobby de hotel com piano","Fairy Tail","Que julga as pessoas pelo sapato","A gente pode parar de discutir por dois minutos?"
"Vendedor de curso online","Salão de eventos montando cadeiras","Bakuman","Que decora o nome de todo mundo na hora","Você trouxe alguma coisa para comer no caminho?"
"Youtuber de review","Congresso com crachá pendurado","Mob Psycho 100","Que esquece o nome no meio da frase","Alguém desliga esse alarme por favor."
"Streamer de madrugada","Feira de negócios com brindes","One Punch Man","Que confunde todos os rostos","Você tem coragem de contar isso na frente de todos?"
"Podcaster","Estande de feira com sorteio","Haikyuu","Que acha que já viu o outro em algum lugar","A gente esqueceu a coisa mais importante em casa."
"Motoboy","Sala de treinamento corporativo","Shokugeki no Soma","Que trata desconhecido como amigo de infância","Você percebeu que ninguém aqui está com pressa?"
"Mototaxista","Dinâmica de grupo constrangedora","Beastars","Que evita contato visual a todo custo","Alguém aqui já viu essa pessoa antes?"
"Cinegrafista de casamento","Entrevista de emprego em grupo","Made in Abyss","Que encara sem piscar","Você tem um lugar seguro para guardar isso?"
"Mestre de cerimônia","Reunião de feedback anual","Toradora","Que sorri no momento errado","A gente devia ter escutado o aviso da recepção."
"Recepcionista de clínica","Sala de demissão com o RH","Clannad","Que balança a cabeça sem ouvir nada","Você promete que vai pensar com carinho no assunto?"
"Telefonista antiga","Happy hour de empresa","Fruits Basket","Que finge entender e não entende","Alguém pode acender a luz da escada?"
"Datilógrafo","Amigo oculto de fim de ano","Great Teacher Onizuka","Que entende tudo pela metade","Você lembrou de trancar a porta de trás?"
"Operador de telégrafo","Festa de confraternização com karaokê","Hajime no Ippo","Que leva tudo ao pé da letra","A gente pode dividir a conta de outro jeito?"
"Sineiro de igreja","Retiro corporativo em resort","Super Campeões","Que acha ironia em tudo","Você acha que essa história tem final feliz?"
"Coroinha","Coworking com cabines telefônicas","Yu-Gi-Oh","Que não percebe sarcasmo nenhum","Alguém aqui entende de conserto de torneira?"
"Organista de igreja","Escritório vazio no feriado","Digimon Adventure","Que responde a piada com informação técnica","Você guardou o recibo daquela compra?"
"Regente de coral","Sala de reunião com projetor quebrado","Sakura Card Captors","Que traz estatística para toda discussão","A gente devia agradecer antes de sair."
"Maestro de orquestra","Copa com geladeira cheia de bilhetes","Guerreiras Mágicas de Rayearth","Que cita estudo sem lembrar a fonte","Você fez isso por mim ou por você?"
"Camareiro de teatro","Banheiro de escritório com conversa alheia","Samurai X","Que usa a palavra tecnicamente sem parar","Alguém pode chamar o responsável deste andar?"
"Ponto de teatro","Escada de incêndio virando fumódromo","Trigun","Que começa as frases com na verdade","Você aceita um conselho de quem já errou muito?"
"Bilheteiro","Rooftop de startup com pufe","Hellsing","Que começa as frases com pois é","A gente ainda tem tempo de mudar de ideia."
"Guarda-volumes","Garagem de startup no começo de tudo","Claymore","Que começa as frases com olha só","Você quer que eu conte do começo ou do fim?"
"Vendedor de ingresso pirata","Sala de investidores durante o pitch","Parasyte","Que termina as frases com entende","Alguém pode confirmar se este bolo ainda está no prazo?"
"Torcedor fanático","Estúdio de gravação de curso online","Ajin","Que termina as frases com né","Você reparou que o retrato da parede mudou de posição?"
"Mascote de time","Sala de aula invertida","Gantz","Que termina as frases com enfim","A gente combina de chegar cedo e sempre chega tarde."
"Bandeirinha de futebol","Auditório de palestra motivacional","Perfect Blue","Que fala e olha em volta procurando aprovação","Você me empresta a sua coragem por cinco minutos?"
"Narrador esportivo","Casa de repouso no bingo da tarde","Paprika","Que pede a conta antes de todo mundo","Alguém aqui tem talento para inventar desculpa?"
"Comentarista de arbitragem","Feira de adoção de animais","Tokyo Godfathers","Que guarda guardanapo no bolso","Eu vim de longe só para dizer isso pessoalmente."
"Massagista de time","Fila de teleférico com nevoeiro","Millennium Actress","Que testa a cadeira antes de sentar","Você aceitaria guardar esse segredo comigo até o fim?"
